type_id,cluster_id,container_id,name,port_total
2,2,1,OLT,15
1,2,1,ODF_2,24
1,2,1,ODF_3,12
1,2,1,ODF_4,12
3,2,2,BEST TRAY_1,12
3,2,2,BEST TRAY_2,12
3,2,2,BEST TRAY_3,12
3,2,2,BEST TRAY_4,12
3,2,2,BEST TRAY_5,12
3,2,2,BEST TRAY_6,12
3,2,2,BEST TRAY_7,12
3,2,2,BEST TRAY_8,12
3,2,2,BEST TRAY_9,12
3,2,2,BEST TRAY_10,12
3,2,2,BEST TRAY_11,12
3,2,2,BEST TRAY_12,12
2,2,3,OLT,15
1,2,3,ODF_2,24
1,2,3,ODF_3,12
1,2,3,ODF_4,12
3,2,4,BEST TRAY_1,12
3,2,4,BEST TRAY_2,12
3,2,4,BEST TRAY_3,12
3,2,4,BEST TRAY_4,12
3,2,4,BEST TRAY_5,12
3,2,4,BEST TRAY_6,12
3,2,4,BEST TRAY_7,12
3,2,4,BEST TRAY_8,12
3,2,4,BEST TRAY_9,12
3,2,4,BEST TRAY_10,12
3,2,4,BEST TRAY_11,12
3,2,4,BEST TRAY_12,12
